Country,Date,search_index
Turkey,2020-01-26,0.0
Turkey,2020-02-02,0.0
Turkey,2020-02-09,0.0
Turkey,2020-02-16,0.0
Turkey,2020-02-23,0.0
Turkey,2020-03-01,0.0
Turkey,2020-03-08,36.0
Turkey,2020-03-15,68.0
Turkey,2020-03-22,100.0
Turkey,2020-03-29,17.0
Turkey,2020-04-05,17.0
Turkey,2020-04-12,86.0
Turkey,2020-04-19,0.0
Turkey,2020-04-26,17.0
Turkey,2020-05-03,0.0
Turkey,2020-05-10,17.0
Turkey,2020-05-17,54.0
Turkey,2020-05-24,18.0
Turkey,2020-05-31,0.0
Turkey,2020-06-07,36.0
Turkey,2020-06-14,0.0
Turkey,2020-06-21,0.0
Turkey,2020-06-28,0.0
Turkey,2020-07-05,40.0
Turkey,2020-07-12,20.0
Turkey,2020-07-19,41.0
Turkey,2020-07-26,22.0
Turkey,2020-08-02,0.0
Turkey,2020-08-09,19.0
Turkey,2020-08-16,20.0
Turkey,2020-08-23,19.0
Turkey,2020-08-30,18.0
Turkey,2020-09-06,19.0
Turkey,2020-09-13,55.0
Turkey,2020-09-20,53.0
Turkey,2020-09-27,18.0
Turkey,2020-10-04,18.0
Turkey,2020-10-11,0.0
Turkey,2020-10-18,19.0
Turkey,2020-10-25,0.0
Turkey,2020-11-01,0.0
Turkey,2020-11-08,18.0
Turkey,2020-11-15,18.0
Turkey,2020-11-22,17.0
Turkey,2020-11-29,17.0
Turkey,2020-12-06,17.0
Turkey,2020-12-13,17.0
Turkey,2020-12-20,35.0
Turkey,2020-12-27,18.0
Turkey,2021-01-03,17.0
Turkey,2021-01-10,17.0
Turkey,2021-01-17,0.0
Turkey,2021-01-24,18.0
Turkey,2021-01-31,19.0
Turkey,2021-02-07,19.0
Turkey,2021-02-14,0.0
Turkey,2021-02-21,36.0
Turkey,2021-02-28,18.0
Turkey,2021-03-07,52.0
Turkey,2021-03-14,33.0
Turkey,2021-03-21,33.0
Turkey,2021-03-28,0.0
Turkey,2021-04-04,17.0
Turkey,2021-04-11,17.0
Turkey,2021-04-18,17.0
Turkey,2021-04-25,34.0
Turkey,2021-05-02,16.0
Turkey,2021-05-09,19.0
Turkey,2021-05-16,37.0
Turkey,2021-05-23,0.0
Turkey,2021-05-30,75.0
Turkey,2021-06-06,75.0
Turkey,2021-06-13,37.0
Turkey,2021-06-20,0.0
Turkey,2021-06-27,39.0
Turkey,2021-07-04,20.0
Turkey,2021-07-11,21.0
Turkey,2021-07-18,52.0
Turkey,2021-07-25,39.0
Turkey,2021-08-01,60.0
Turkey,2021-08-08,20.0
Turkey,2021-08-15,39.0
Turkey,2021-08-22,21.0
Turkey,2021-08-29,0.0
Turkey,2021-09-05,22.0
Turkey,2021-09-12,0.0
Turkey,2021-09-19,21.0
Turkey,2021-09-26,42.0
Turkey,2021-10-03,21.0
Turkey,2021-10-10,42.0
Turkey,2021-10-17,0.0
Turkey,2021-10-24,20.0
Turkey,2021-10-31,20.0
Turkey,2021-11-07,60.0
Turkey,2021-11-14,0.0
Turkey,2021-11-21,35.0
Turkey,2021-11-28,0.0
Turkey,2021-12-05,0.0
Turkey,2021-12-12,0.0
Turkey,2021-12-19,0.0
Turkey,2021-12-26,0.0
Turkey,2022-01-02,54.0
Turkey,2022-01-09,54.0
Turkey,2022-01-16,55.0
Turkey,2022-01-23,39.0
Turkey,2022-01-30,0.0
Turkey,2022-02-06,0.0
Turkey,2022-02-13,20.0
Turkey,2022-02-20,19.0
Turkey,2022-02-27,18.0
Turkey,2022-03-06,0.0
Turkey,2022-03-13,36.0
Turkey,2022-03-20,38.0
Turkey,2022-03-27,19.0
Turkey,2022-04-03,0.0
Turkey,2022-04-10,0.0
