Country,Date,search_index
Switzerland,2020-01-26,0.0
Switzerland,2020-02-02,0.0
Switzerland,2020-02-09,0.0
Switzerland,2020-02-16,7.0
Switzerland,2020-02-23,0.0
Switzerland,2020-03-01,7.0
Switzerland,2020-03-08,7.0
Switzerland,2020-03-15,100.0
Switzerland,2020-03-22,44.0
Switzerland,2020-03-29,39.0
Switzerland,2020-04-05,21.0
Switzerland,2020-04-12,28.0
Switzerland,2020-04-19,13.0
Switzerland,2020-04-26,19.0
Switzerland,2020-05-03,20.0
Switzerland,2020-05-10,33.0
Switzerland,2020-05-17,14.0
Switzerland,2020-05-24,7.0
Switzerland,2020-05-31,0.0
Switzerland,2020-06-07,20.0
Switzerland,2020-06-14,20.0
Switzerland,2020-06-21,28.0
Switzerland,2020-06-28,35.0
Switzerland,2020-07-05,7.0
Switzerland,2020-07-12,8.0
Switzerland,2020-07-19,39.0
Switzerland,2020-07-26,16.0
Switzerland,2020-08-02,15.0
Switzerland,2020-08-09,7.0
Switzerland,2020-08-16,7.0
Switzerland,2020-08-23,28.0
Switzerland,2020-08-30,0.0
Switzerland,2020-09-06,35.0
Switzerland,2020-09-13,0.0
Switzerland,2020-09-20,0.0
Switzerland,2020-09-27,7.0
Switzerland,2020-10-04,7.0
Switzerland,2020-10-11,15.0
Switzerland,2020-10-18,15.0
Switzerland,2020-10-25,0.0
Switzerland,2020-11-01,20.0
Switzerland,2020-11-08,22.0
Switzerland,2020-11-15,14.0
Switzerland,2020-11-22,0.0
Switzerland,2020-11-29,7.0
Switzerland,2020-12-06,14.0
Switzerland,2020-12-13,15.0
Switzerland,2020-12-20,0.0
Switzerland,2020-12-27,8.0
Switzerland,2021-01-03,43.0
Switzerland,2021-01-10,21.0
Switzerland,2021-01-17,21.0
Switzerland,2021-01-24,0.0
Switzerland,2021-01-31,28.0
Switzerland,2021-02-07,14.0
Switzerland,2021-02-14,7.0
Switzerland,2021-02-21,0.0
Switzerland,2021-02-28,7.0
Switzerland,2021-03-07,14.0
Switzerland,2021-03-14,13.0
Switzerland,2021-03-21,7.0
Switzerland,2021-03-28,16.0
Switzerland,2021-04-04,8.0
Switzerland,2021-04-11,7.0
Switzerland,2021-04-18,7.0
Switzerland,2021-04-25,7.0
Switzerland,2021-05-02,22.0
Switzerland,2021-05-09,0.0
Switzerland,2021-05-16,0.0
Switzerland,2021-05-23,22.0
Switzerland,2021-05-30,0.0
Switzerland,2021-06-06,29.0
Switzerland,2021-06-13,0.0
Switzerland,2021-06-20,14.0
Switzerland,2021-06-27,0.0
Switzerland,2021-07-04,8.0
Switzerland,2021-07-11,0.0
Switzerland,2021-07-18,9.0
Switzerland,2021-07-25,0.0
Switzerland,2021-08-01,0.0
Switzerland,2021-08-08,17.0
Switzerland,2021-08-15,8.0
Switzerland,2021-08-22,8.0
Switzerland,2021-08-29,0.0
Switzerland,2021-09-05,16.0
Switzerland,2021-09-12,24.0
Switzerland,2021-09-19,0.0
Switzerland,2021-09-26,16.0
Switzerland,2021-10-03,0.0
Switzerland,2021-10-10,17.0
Switzerland,2021-10-17,8.0
Switzerland,2021-10-24,0.0
Switzerland,2021-10-31,0.0
Switzerland,2021-11-07,0.0
Switzerland,2021-11-14,23.0
Switzerland,2021-11-21,7.0
Switzerland,2021-11-28,7.0
Switzerland,2021-12-05,23.0
Switzerland,2021-12-12,8.0
Switzerland,2021-12-19,0.0
Switzerland,2021-12-26,19.0
Switzerland,2022-01-02,0.0
Switzerland,2022-01-09,8.0
Switzerland,2022-01-16,16.0
Switzerland,2022-01-23,8.0
Switzerland,2022-01-30,16.0
Switzerland,2022-02-06,25.0
Switzerland,2022-02-13,8.0
Switzerland,2022-02-20,8.0
Switzerland,2022-02-27,8.0
Switzerland,2022-03-06,8.0
Switzerland,2022-03-13,0.0
Switzerland,2022-03-20,33.0
Switzerland,2022-03-27,8.0
Switzerland,2022-04-03,8.0
Switzerland,2022-04-10,18.0
