Category: All categories

Week,vaccine: (Belgium)
2020-01-26,7
2020-02-02,4
2020-02-09,4
2020-02-16,2
2020-02-23,9
2020-03-01,7
2020-03-08,10
2020-03-15,18
2020-03-22,11
2020-03-29,13
2020-04-05,13
2020-04-12,12
2020-04-19,11
2020-04-26,12
2020-05-03,12
2020-05-10,12
2020-05-17,11
2020-05-24,10
2020-05-31,7
2020-06-07,8
2020-06-14,7
2020-06-21,8
2020-06-28,9
2020-07-05,8
2020-07-12,11
2020-07-19,15
2020-07-26,13
2020-08-02,12
2020-08-09,16
2020-08-16,16
2020-08-23,11
2020-08-30,11
2020-09-06,13
2020-09-13,10
2020-09-20,9
2020-09-27,12
2020-10-04,13
2020-10-11,13
2020-10-18,17
2020-10-25,17
2020-11-01,11
2020-11-08,35
2020-11-15,27
2020-11-22,20
2020-11-29,27
2020-12-06,36
2020-12-13,33
2020-12-20,29
2020-12-27,35
2021-01-03,51
2021-01-10,51
2021-01-17,51
2021-01-24,54
2021-01-31,42
2021-02-07,34
2021-02-14,43
2021-02-21,58
2021-02-28,64
2021-03-07,61
2021-03-14,71
2021-03-21,60
2021-03-28,62
2021-04-04,80
2021-04-11,70
2021-04-18,66
2021-04-25,70
2021-05-02,77
2021-05-09,83
2021-05-16,86
2021-05-23,82
2021-05-30,94
2021-06-06,93
2021-06-13,100
2021-06-20,97
2021-06-27,81
2021-07-04,69
2021-07-11,77
2021-07-18,75
2021-07-25,67
2021-08-01,90
2021-08-08,55
2021-08-15,76
2021-08-22,41
2021-08-29,37
2021-09-05,35
2021-09-12,30
2021-09-19,35
2021-09-26,30
2021-10-03,24
2021-10-10,26
2021-10-17,33
2021-10-24,42
2021-10-31,37
2021-11-07,37
2021-11-14,47
2021-11-21,48
2021-11-28,44
2021-12-05,40
2021-12-12,45
2021-12-19,39
2021-12-26,38
2022-01-02,43
2022-01-09,49
2022-01-16,43
2022-01-23,27
2022-01-30,22
2022-02-06,21
2022-02-13,21
2022-02-20,17
2022-02-27,17
2022-03-06,9
2022-03-13,13
2022-03-20,13
2022-03-27,8
2022-04-03,9
2022-04-10,9
