Category: All categories

Week,vaccine: (Worldwide)
2020-01-26,4
2020-02-02,4
2020-02-09,3
2020-02-16,3
2020-02-23,5
2020-03-01,6
2020-03-08,10
2020-03-15,15
2020-03-22,13
2020-03-29,11
2020-04-05,11
2020-04-12,9
2020-04-19,11
2020-04-26,10
2020-05-03,12
2020-05-10,10
2020-05-17,11
2020-05-24,8
2020-05-31,7
2020-06-07,8
2020-06-14,9
2020-06-21,9
2020-06-28,10
2020-07-05,10
2020-07-12,16
2020-07-19,14
2020-07-26,12
2020-08-02,11
2020-08-09,17
2020-08-16,11
2020-08-23,9
2020-08-30,10
2020-09-06,10
2020-09-13,10
2020-09-20,9
2020-09-27,9
2020-10-04,9
2020-10-11,9
2020-10-18,9
2020-10-25,9
2020-11-01,7
2020-11-08,19
2020-11-15,17
2020-11-22,14
2020-11-29,20
2020-12-06,31
2020-12-13,36
2020-12-20,29
2020-12-27,37
2021-01-03,45
2021-01-10,61
2021-01-17,60
2021-01-24,62
2021-01-31,58
2021-02-07,58
2021-02-14,56
2021-02-21,63
2021-02-28,83
2021-03-07,93
2021-03-14,91
2021-03-21,84
2021-03-28,93
2021-04-04,90
2021-04-11,81
2021-04-18,68
2021-04-25,91
2021-05-02,73
2021-05-09,76
2021-05-16,74
2021-05-23,66
2021-05-30,67
2021-06-06,61
2021-06-13,61
2021-06-20,76
2021-06-27,57
2021-07-04,52
2021-07-11,53
2021-07-18,58
2021-07-25,64
2021-08-01,87
2021-08-08,68
2021-08-15,69
2021-08-22,67
2021-08-29,71
2021-09-05,58
2021-09-12,56
2021-09-19,53
2021-09-26,46
2021-10-03,43
2021-10-10,47
2021-10-17,48
2021-10-24,38
2021-10-31,39
2021-11-07,39
2021-11-14,38
2021-11-21,34
2021-11-28,40
2021-12-05,35
2021-12-12,58
2021-12-19,39
2021-12-26,35
2022-01-02,44
2022-01-09,40
2022-01-16,100
2022-01-23,26
2022-01-30,21
2022-02-06,20
2022-02-13,18
2022-02-20,15
2022-02-27,14
2022-03-06,13
2022-03-13,12
2022-03-20,12
2022-03-27,12
2022-04-03,12
2022-04-10,11
