Category: All categories

Week,export: (Turkey)
2020-01-26,84
2020-02-02,79
2020-02-09,76
2020-02-16,96
2020-02-23,86
2020-03-01,87
2020-03-08,72
2020-03-15,70
2020-03-22,65
2020-03-29,76
2020-04-05,88
2020-04-12,64
2020-04-19,66
2020-04-26,71
2020-05-03,71
2020-05-10,79
2020-05-17,73
2020-05-24,77
2020-05-31,87
2020-06-07,99
2020-06-14,78
2020-06-21,76
2020-06-28,82
2020-07-05,97
2020-07-12,85
2020-07-19,97
2020-07-26,66
2020-08-02,79
2020-08-09,76
2020-08-16,95
2020-08-23,77
2020-08-30,90
2020-09-06,79
2020-09-13,75
2020-09-20,81
2020-09-27,71
2020-10-04,66
2020-10-11,84
2020-10-18,81
2020-10-25,69
2020-11-01,77
2020-11-08,69
2020-11-15,75
2020-11-22,76
2020-11-29,68
2020-12-06,79
2020-12-13,79
2020-12-20,71
2020-12-27,73
2021-01-03,73
2021-01-10,67
2021-01-17,79
2021-01-24,80
2021-01-31,81
2021-02-07,86
2021-02-14,77
2021-02-21,73
2021-02-28,84
2021-03-07,80
2021-03-14,84
2021-03-21,69
2021-03-28,72
2021-04-04,73
2021-04-11,77
2021-04-18,66
2021-04-25,63
2021-05-02,66
2021-05-09,70
2021-05-16,72
2021-05-23,78
2021-05-30,84
2021-06-06,71
2021-06-13,78
2021-06-20,94
2021-06-27,84
2021-07-04,83
2021-07-11,74
2021-07-18,45
2021-07-25,74
2021-08-01,77
2021-08-08,93
2021-08-15,79
2021-08-22,73
2021-08-29,76
2021-09-05,86
2021-09-12,100
2021-09-19,84
2021-09-26,87
2021-10-03,85
2021-10-10,83
2021-10-17,88
2021-10-24,76
2021-10-31,95
2021-11-07,80
2021-11-14,70
2021-11-21,85
2021-11-28,87
2021-12-05,82
2021-12-12,77
2021-12-19,72
2021-12-26,64
2022-01-02,80
2022-01-09,71
2022-01-16,75
2022-01-23,77
2022-01-30,70
2022-02-06,86
2022-02-13,81
2022-02-20,75
2022-02-27,87
2022-03-06,81
2022-03-13,79
2022-03-20,83
2022-03-27,81
2022-04-03,88
2022-04-10,77
