Category: All categories

Week,covid: (Mexico)
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,<1
2020-02-23,2
2020-03-01,2
2020-03-08,5
2020-03-15,30
2020-03-22,42
2020-03-29,48
2020-04-05,45
2020-04-12,50
2020-04-19,47
2020-04-26,40
2020-05-03,43
2020-05-10,41
2020-05-17,43
2020-05-24,41
2020-05-31,40
2020-06-07,42
2020-06-14,41
2020-06-21,38
2020-06-28,44
2020-07-05,46
2020-07-12,49
2020-07-19,47
2020-07-26,42
2020-08-02,39
2020-08-09,37
2020-08-16,31
2020-08-23,32
2020-08-30,31
2020-09-06,27
2020-09-13,22
2020-09-20,23
2020-09-27,24
2020-10-04,23
2020-10-11,24
2020-10-18,29
2020-10-25,31
2020-11-01,26
2020-11-08,27
2020-11-15,28
2020-11-22,29
2020-11-29,34
2020-12-06,37
2020-12-13,44
2020-12-20,52
2020-12-27,51
2021-01-03,53
2021-01-10,57
2021-01-17,56
2021-01-24,56
2021-01-31,50
2021-02-07,37
2021-02-14,36
2021-02-21,33
2021-02-28,30
2021-03-07,31
2021-03-14,31
2021-03-21,30
2021-03-28,37
2021-04-04,35
2021-04-11,32
2021-04-18,31
2021-04-25,37
2021-05-02,34
2021-05-09,30
2021-05-16,35
2021-05-23,39
2021-05-30,41
2021-06-06,36
2021-06-13,36
2021-06-20,47
2021-06-27,40
2021-07-04,69
2021-07-11,68
2021-07-18,85
2021-07-25,87
2021-08-01,80
2021-08-08,78
2021-08-15,64
2021-08-22,54
2021-08-29,45
2021-09-05,42
2021-09-12,37
2021-09-19,37
2021-09-26,35
2021-10-03,34
2021-10-10,36
2021-10-17,32
2021-10-24,30
2021-10-31,25
2021-11-07,26
2021-11-14,26
2021-11-21,30
2021-11-28,30
2021-12-05,29
2021-12-12,31
2021-12-19,25
2021-12-26,33
2022-01-02,71
2022-01-09,100
2022-01-16,82
2022-01-23,57
2022-01-30,43
2022-02-06,36
2022-02-13,33
2022-02-20,27
2022-02-27,19
2022-03-06,19
2022-03-13,21
2022-03-20,16
2022-03-27,14
2022-04-03,13
2022-04-10,13
