Category: All categories

Week,covid: (Germany)
2020-01-26,0
2020-02-02,0
2020-02-09,2
2020-02-16,3
2020-02-23,15
2020-03-01,18
2020-03-08,53
2020-03-15,89
2020-03-22,86
2020-03-29,79
2020-04-05,68
2020-04-12,57
2020-04-19,51
2020-04-26,46
2020-05-03,43
2020-05-10,42
2020-05-17,36
2020-05-24,36
2020-05-31,27
2020-06-07,27
2020-06-14,32
2020-06-21,33
2020-06-28,28
2020-07-05,30
2020-07-12,31
2020-07-19,30
2020-07-26,38
2020-08-02,39
2020-08-09,40
2020-08-16,43
2020-08-23,42
2020-08-30,35
2020-09-06,35
2020-09-13,37
2020-09-20,40
2020-09-27,43
2020-10-04,53
2020-10-11,64
2020-10-18,76
2020-10-25,77
2020-11-01,55
2020-11-08,56
2020-11-15,51
2020-11-22,46
2020-11-29,45
2020-12-06,58
2020-12-13,66
2020-12-20,65
2020-12-27,55
2021-01-03,57
2021-01-10,58
2021-01-17,54
2021-01-24,48
2021-01-31,43
2021-02-07,39
2021-02-14,40
2021-02-21,45
2021-02-28,48
2021-03-07,50
2021-03-14,54
2021-03-21,63
2021-03-28,66
2021-04-04,64
2021-04-11,68
2021-04-18,70
2021-04-25,70
2021-05-02,68
2021-05-09,68
2021-05-16,64
2021-05-23,62
2021-05-30,58
2021-06-06,59
2021-06-13,52
2021-06-20,49
2021-06-27,55
2021-07-04,54
2021-07-11,52
2021-07-18,53
2021-07-25,56
2021-08-01,59
2021-08-08,54
2021-08-15,54
2021-08-22,54
2021-08-29,51
2021-09-05,44
2021-09-12,42
2021-09-19,36
2021-09-26,30
2021-10-03,32
2021-10-10,33
2021-10-17,35
2021-10-24,39
2021-10-31,46
2021-11-07,61
2021-11-14,80
2021-11-21,100
2021-11-28,89
2021-12-05,81
2021-12-12,68
2021-12-19,69
2021-12-26,64
2022-01-02,67
2022-01-09,68
2022-01-16,78
2022-01-23,62
2022-01-30,53
2022-02-06,50
2022-02-13,38
2022-02-20,32
2022-02-27,29
2022-03-06,34
2022-03-13,43
2022-03-20,40
2022-03-27,36
2022-04-03,30
2022-04-10,28
