Category: All categories

Week,Education: (Russia)
2020-01-26,74
2020-02-02,62
2020-02-09,57
2020-02-16,51
2020-02-23,53
2020-03-01,42
2020-03-08,39
2020-03-15,58
2020-03-22,61
2020-03-29,57
2020-04-05,48
2020-04-12,53
2020-04-19,46
2020-04-26,43
2020-05-03,38
2020-05-10,40
2020-05-17,37
2020-05-24,40
2020-05-31,37
2020-06-07,34
2020-06-14,35
2020-06-21,30
2020-06-28,29
2020-07-05,31
2020-07-12,27
2020-07-19,25
2020-07-26,27
2020-08-02,25
2020-08-09,22
2020-08-16,23
2020-08-23,24
2020-08-30,31
2020-09-06,39
2020-09-13,32
2020-09-20,34
2020-09-27,36
2020-10-04,37
2020-10-11,36
2020-10-18,39
2020-10-25,37
2020-11-01,38
2020-11-08,38
2020-11-15,35
2020-11-22,33
2020-11-29,27
2020-12-06,33
2020-12-13,32
2020-12-20,30
2020-12-27,21
2021-01-03,30
2021-01-10,30
2021-01-17,34
2021-01-24,31
2021-01-31,36
2021-02-07,34
2021-02-14,31
2021-02-21,31
2021-02-28,31
2021-03-07,38
2021-03-14,41
2021-03-21,33
2021-03-28,36
2021-04-04,30
2021-04-11,32
2021-04-18,38
2021-04-25,33
2021-05-02,28
2021-05-09,31
2021-05-16,31
2021-05-23,25
2021-05-30,29
2021-06-06,32
2021-06-13,38
2021-06-20,29
2021-06-27,26
2021-07-04,27
2021-07-11,28
2021-07-18,37
2021-07-25,38
2021-08-01,29
2021-08-08,25
2021-08-15,31
2021-08-22,34
2021-08-29,38
2021-09-05,44
2021-09-12,72
2021-09-19,100
2021-09-26,76
2021-10-03,61
2021-10-10,51
2021-10-17,52
2021-10-24,57
2021-10-31,40
2021-11-07,52
2021-11-14,43
2021-11-21,47
2021-11-28,53
2021-12-05,50
2021-12-12,59
2021-12-19,51
2021-12-26,40
2022-01-02,37
2022-01-09,46
2022-01-16,58
2022-01-23,69
2022-01-30,57
2022-02-06,54
2022-02-13,49
2022-02-20,55
2022-02-27,48
2022-03-06,54
2022-03-13,42
2022-03-20,49
2022-03-27,48
2022-04-03,49
2022-04-10,52
