Week,Flight tracking: (United States)
2020-01-26,84
2020-02-02,73
2020-02-09,77
2020-02-16,72
2020-02-23,70
2020-03-01,65
2020-03-08,70
2020-03-15,55
2020-03-22,28
2020-03-29,19
2020-04-05,15
2020-04-12,12
2020-04-19,13
2020-04-26,14
2020-05-03,17
2020-05-10,17
2020-05-17,17
2020-05-24,17
2020-05-31,19
2020-06-07,21
2020-06-14,23
2020-06-21,27
2020-06-28,29
2020-07-05,29
2020-07-12,25
2020-07-19,29
2020-07-26,28
2020-08-02,27
2020-08-09,26
2020-08-16,26
2020-08-23,24
2020-08-30,24
2020-09-06,25
2020-09-13,24
2020-09-20,23
2020-09-27,26
2020-10-04,26
2020-10-11,26
2020-10-18,28
2020-10-25,29
2020-11-01,21
2020-11-08,27
2020-11-15,29
2020-11-22,30
2020-11-29,27
2020-12-06,24
2020-12-13,35
2020-12-20,42
2020-12-27,44
2021-01-03,35
2021-01-10,32
2021-01-17,27
2021-01-24,25
2021-01-31,26
2021-02-07,34
2021-02-14,40
2021-02-21,32
2021-02-28,33
2021-03-07,34
2021-03-14,39
2021-03-21,40
2021-03-28,42
2021-04-04,41
2021-04-11,41
2021-04-18,41
2021-04-25,39
2021-05-02,43
2021-05-09,47
2021-05-16,51
2021-05-23,52
2021-05-30,54
2021-06-06,60
2021-06-13,65
2021-06-20,67
2021-06-27,80
2021-07-04,76
2021-07-11,73
2021-07-18,77
2021-07-25,69
2021-08-01,75
2021-08-08,69
2021-08-15,72
2021-08-22,61
2021-08-29,60
2021-09-05,45
2021-09-12,46
2021-09-19,52
2021-09-26,51
2021-10-03,55
2021-10-10,62
2021-10-17,56
2021-10-24,60
2021-10-31,55
2021-11-07,58
2021-11-14,59
2021-11-21,69
2021-11-28,58
2021-12-05,60
2021-12-12,71
2021-12-19,89
2021-12-26,100
2022-01-02,86
2022-01-09,54
2022-01-16,59
2022-01-23,52
2022-01-30,65
2022-02-06,55
2022-02-13,68
2022-02-20,88
2022-02-27,76
2022-03-06,81
2022-03-13,80
2022-03-20,78
2022-03-27,77
2022-04-03,81
2022-04-10,83
