Category: All categories

Week,mask: (Italy)
2020-01-26,39
2020-02-02,32
2020-02-09,29
2020-02-16,38
2020-02-23,50
2020-03-01,38
2020-03-08,66
2020-03-15,69
2020-03-22,57
2020-03-29,77
2020-04-05,82
2020-04-12,71
2020-04-19,76
2020-04-26,74
2020-05-03,87
2020-05-10,74
2020-05-17,73
2020-05-24,62
2020-05-31,55
2020-06-07,51
2020-06-14,40
2020-06-21,34
2020-06-28,37
2020-07-05,38
2020-07-12,39
2020-07-19,38
2020-07-26,38
2020-08-02,38
2020-08-09,38
2020-08-16,43
2020-08-23,42
2020-08-30,53
2020-09-06,54
2020-09-13,46
2020-09-20,41
2020-09-27,46
2020-10-04,63
2020-10-11,66
2020-10-18,59
2020-10-25,64
2020-11-01,59
2020-11-08,66
2020-11-15,57
2020-11-22,52
2020-11-29,48
2020-12-06,43
2020-12-13,45
2020-12-20,56
2020-12-27,45
2021-01-03,52
2021-01-10,56
2021-01-17,57
2021-01-24,100
2021-01-31,62
2021-02-07,50
2021-02-14,81
2021-02-21,59
2021-02-28,46
2021-03-07,44
2021-03-14,39
2021-03-21,47
2021-03-28,46
2021-04-04,42
2021-04-11,40
2021-04-18,32
2021-04-25,34
2021-05-02,36
2021-05-09,33
2021-05-16,32
2021-05-23,29
2021-05-30,32
2021-06-06,30
2021-06-13,32
2021-06-20,30
2021-06-27,28
2021-07-04,29
2021-07-11,28
2021-07-18,30
2021-07-25,30
2021-08-01,30
2021-08-08,29
2021-08-15,28
2021-08-22,29
2021-08-29,33
2021-09-05,29
2021-09-12,29
2021-09-19,26
2021-09-26,27
2021-10-03,28
2021-10-10,29
2021-10-17,30
2021-10-24,37
2021-10-31,33
2021-11-07,30
2021-11-14,29
2021-11-21,29
2021-11-28,30
2021-12-05,33
2021-12-12,32
2021-12-19,40
2021-12-26,65
2022-01-02,46
2022-01-09,43
2022-01-16,40
2022-01-23,41
2022-01-30,34
2022-02-06,33
2022-02-13,34
2022-02-20,34
2022-02-27,33
2022-03-06,32
2022-03-13,32
2022-03-20,30
2022-03-27,30
2022-04-03,32
2022-04-10,31
