Category: All categories

Week,Travel: (Iran)
2020-01-26,93
2020-02-02,96
2020-02-09,77
2020-02-16,89
2020-02-23,59
2020-03-01,76
2020-03-08,69
2020-03-15,73
2020-03-22,60
2020-03-29,69
2020-04-05,57
2020-04-12,66
2020-04-19,73
2020-04-26,66
2020-05-03,81
2020-05-10,70
2020-05-17,78
2020-05-24,73
2020-05-31,68
2020-06-07,81
2020-06-14,84
2020-06-21,78
2020-06-28,72
2020-07-05,63
2020-07-12,64
2020-07-19,73
2020-07-26,62
2020-08-02,68
2020-08-09,68
2020-08-16,57
2020-08-23,80
2020-08-30,70
2020-09-06,84
2020-09-13,58
2020-09-20,62
2020-09-27,59
2020-10-04,53
2020-10-11,56
2020-10-18,64
2020-10-25,69
2020-11-01,59
2020-11-08,55
2020-11-15,59
2020-11-22,50
2020-11-29,70
2020-12-06,53
2020-12-13,50
2020-12-20,51
2020-12-27,56
2021-01-03,54
2021-01-10,47
2021-01-17,56
2021-01-24,58
2021-01-31,49
2021-02-07,64
2021-02-14,65
2021-02-21,65
2021-02-28,52
2021-03-07,53
2021-03-14,61
2021-03-21,81
2021-03-28,67
2021-04-04,78
2021-04-11,65
2021-04-18,55
2021-04-25,57
2021-05-02,63
2021-05-09,84
2021-05-16,82
2021-05-23,79
2021-05-30,68
2021-06-06,63
2021-06-13,79
2021-06-20,96
2021-06-27,90
2021-07-04,73
2021-07-11,83
2021-07-18,90
2021-07-25,84
2021-08-01,76
2021-08-08,84
2021-08-15,82
2021-08-22,93
2021-08-29,75
2021-09-05,85
2021-09-12,82
2021-09-19,77
2021-09-26,62
2021-10-03,69
2021-10-10,78
2021-10-17,78
2021-10-24,63
2021-10-31,67
2021-11-07,100
2021-11-14,77
2021-11-21,70
2021-11-28,82
2021-12-05,84
2021-12-12,77
2021-12-19,49
2021-12-26,66
2022-01-02,68
2022-01-09,59
2022-01-16,78
2022-01-23,76
2022-01-30,66
2022-02-06,64
2022-02-13,72
2022-02-20,66
2022-02-27,69
2022-03-06,80
2022-03-13,66
2022-03-20,81
2022-03-27,96
2022-04-03,89
2022-04-10,95
