Category: All categories

Week,travel: (Belgium)
2020-01-26,59
2020-02-02,66
2020-02-09,58
2020-02-16,61
2020-02-23,57
2020-03-01,60
2020-03-08,81
2020-03-15,53
2020-03-22,31
2020-03-29,31
2020-04-05,31
2020-04-12,36
2020-04-19,36
2020-04-26,38
2020-05-03,37
2020-05-10,40
2020-05-17,40
2020-05-24,44
2020-05-31,55
2020-06-07,55
2020-06-14,57
2020-06-21,58
2020-06-28,73
2020-07-05,63
2020-07-12,57
2020-07-19,52
2020-07-26,79
2020-08-02,66
2020-08-09,56
2020-08-16,56
2020-08-23,55
2020-08-30,52
2020-09-06,50
2020-09-13,50
2020-09-20,44
2020-09-27,44
2020-10-04,42
2020-10-11,42
2020-10-18,44
2020-10-25,36
2020-11-01,37
2020-11-08,37
2020-11-15,36
2020-11-22,43
2020-11-29,42
2020-12-06,39
2020-12-13,46
2020-12-20,42
2020-12-27,49
2021-01-03,38
2021-01-10,40
2021-01-17,43
2021-01-24,43
2021-01-31,42
2021-02-07,30
2021-02-14,39
2021-02-21,39
2021-02-28,47
2021-03-07,43
2021-03-14,39
2021-03-21,45
2021-03-28,42
2021-04-04,40
2021-04-11,51
2021-04-18,53
2021-04-25,52
2021-05-02,59
2021-05-09,57
2021-05-16,66
2021-05-23,64
2021-05-30,75
2021-06-06,77
2021-06-13,83
2021-06-20,88
2021-06-27,80
2021-07-04,100
2021-07-11,92
2021-07-18,95
2021-07-25,89
2021-08-01,75
2021-08-08,76
2021-08-15,70
2021-08-22,68
2021-08-29,77
2021-09-05,76
2021-09-12,68
2021-09-19,63
2021-09-26,69
2021-10-03,61
2021-10-10,71
2021-10-17,71
2021-10-24,72
2021-10-31,66
2021-11-07,60
2021-11-14,58
2021-11-21,64
2021-11-28,78
2021-12-05,60
2021-12-12,83
2021-12-19,76
2021-12-26,73
2022-01-02,75
2022-01-09,74
2022-01-16,75
2022-01-23,79
2022-01-30,77
2022-02-06,71
2022-02-13,71
2022-02-20,72
2022-02-27,64
2022-03-06,68
2022-03-13,73
2022-03-20,75
2022-03-27,67
2022-04-03,73
2022-04-10,70
