Category: All categories

Week,social distance: (Turkey)
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,0
2020-03-08,10
2020-03-15,52
2020-03-22,60
2020-03-29,64
2020-04-05,93
2020-04-12,100
2020-04-19,52
2020-04-26,28
2020-05-03,89
2020-05-10,58
2020-05-17,50
2020-05-24,50
2020-05-31,58
2020-06-07,45
2020-06-14,44
2020-06-21,26
2020-06-28,65
2020-07-05,56
2020-07-12,28
2020-07-19,62
2020-07-26,12
2020-08-02,67
2020-08-09,21
2020-08-16,28
2020-08-23,32
2020-08-30,30
2020-09-06,21
2020-09-13,31
2020-09-20,30
2020-09-27,20
2020-10-04,15
2020-10-11,37
2020-10-18,31
2020-10-25,20
2020-11-01,30
2020-11-08,24
2020-11-15,0
2020-11-22,39
2020-11-29,19
2020-12-06,29
2020-12-13,14
2020-12-20,5
2020-12-27,15
2021-01-03,5
2021-01-10,14
2021-01-17,29
2021-01-24,20
2021-01-31,5
2021-02-07,26
2021-02-14,10
2021-02-21,0
2021-02-28,15
2021-03-07,6
2021-03-14,0
2021-03-21,10
2021-03-28,11
2021-04-04,0
2021-04-11,6
2021-04-18,11
2021-04-25,5
2021-05-02,5
2021-05-09,6
2021-05-16,0
2021-05-23,6
2021-05-30,6
2021-06-06,0
2021-06-13,0
2021-06-20,13
2021-06-27,13
2021-07-04,6
2021-07-11,0
2021-07-18,8
2021-07-25,0
2021-08-01,6
2021-08-08,6
2021-08-15,0
2021-08-22,14
2021-08-29,0
2021-09-05,21
2021-09-12,14
2021-09-19,0
2021-09-26,0
2021-10-03,7
2021-10-10,7
2021-10-17,7
2021-10-24,0
2021-10-31,0
2021-11-07,0
2021-11-14,6
2021-11-21,6
2021-11-28,0
2021-12-05,6
2021-12-12,6
2021-12-19,5
2021-12-26,0
2022-01-02,0
2022-01-09,0
2022-01-16,0
2022-01-23,6
2022-01-30,0
2022-02-06,7
2022-02-13,0
2022-02-20,0
2022-02-27,0
2022-03-06,12
2022-03-13,0
2022-03-20,0
2022-03-27,12
2022-04-03,0
2022-04-10,0
