Category: All categories

Week,Immigration: (South Korea)
2020-01-26,41
2020-02-02,66
2020-02-09,52
2020-02-16,81
2020-02-23,84
2020-03-01,100
2020-03-08,55
2020-03-15,64
2020-03-22,85
2020-03-29,67
2020-04-05,71
2020-04-12,42
2020-04-19,86
2020-04-26,43
2020-05-03,58
2020-05-10,54
2020-05-17,60
2020-05-24,73
2020-05-31,60
2020-06-07,69
2020-06-14,53
2020-06-21,60
2020-06-28,57
2020-07-05,68
2020-07-12,54
2020-07-19,56
2020-07-26,74
2020-08-02,67
2020-08-09,55
2020-08-16,51
2020-08-23,82
2020-08-30,44
2020-09-06,52
2020-09-13,54
2020-09-20,53
2020-09-27,56
2020-10-04,56
2020-10-11,60
2020-10-18,55
2020-10-25,55
2020-11-01,55
2020-11-08,44
2020-11-15,54
2020-11-22,46
2020-11-29,38
2020-12-06,45
2020-12-13,33
2020-12-20,34
2020-12-27,40
2021-01-03,47
2021-01-10,36
2021-01-17,46
2021-01-24,47
2021-01-31,38
2021-02-07,48
2021-02-14,58
2021-02-21,55
2021-02-28,44
2021-03-07,64
2021-03-14,75
2021-03-21,82
2021-03-28,68
2021-04-04,71
2021-04-11,61
2021-04-18,71
2021-04-25,76
2021-05-02,64
2021-05-09,69
2021-05-16,72
2021-05-23,49
2021-05-30,49
2021-06-06,60
2021-06-13,61
2021-06-20,42
2021-06-27,54
2021-07-04,50
2021-07-11,43
2021-07-18,55
2021-07-25,59
2021-08-01,53
2021-08-08,61
2021-08-15,63
2021-08-22,63
2021-08-29,48
2021-09-05,45
2021-09-12,53
2021-09-19,41
2021-09-26,40
2021-10-03,67
2021-10-10,65
2021-10-17,47
2021-10-24,49
2021-10-31,41
2021-11-07,52
2021-11-14,45
2021-11-21,48
2021-11-28,53
2021-12-05,58
2021-12-12,51
2021-12-19,52
2021-12-26,51
2022-01-02,43
2022-01-09,44
2022-01-16,42
2022-01-23,60
2022-01-30,50
2022-02-06,52
2022-02-13,78
2022-02-20,51
2022-02-27,52
2022-03-06,48
2022-03-13,48
2022-03-20,48
2022-03-27,54
2022-04-03,43
2022-04-10,45
